Batch ID,Category,Product Name,Product Image,Store Name,Product Link,Price,Unit Price
53,fruits_and_vegetables,Πατάτες Κύπρου,https://www.bigle.gr/images/products/089076c1-374c-4062-b8fe-6a3b109a0747.jpeg,Χαλκιαδάκης,https://www.bigle.grhttps://xalkiadakis.gr/product/patates-kyproy,"4,35€","1,45€ ανά κιλό"
54,fruits_and_vegetables,Ντοματες Καρδιτσας,https://www.bigle.gr/images/products/6912fa8a-1663-43c0-b549-76c8458b26fc.jpeg,Γαλαξίας,https://www.bigle.grhttps://galaxias.shop/product/2106302000000,Not found,"1,65€ ανά τεμάχιο"
55,fruits_and_vegetables,Τοματίνια Βελανίδια Κόκκινα Σε Ποτήρι Κρήτης 250 gr,https://www.bigle.gr/images/products/37ac5e2b-3580-40e8-bc5d-c1cee6a3ae0f.jpeg,Χαλκιαδάκης,https://www.bigle.grhttps://xalkiadakis.gr/product/tomatinia-belanidia-kokkina-se-potiri-kritis-250-gr,"2,20€","8,80€ ανά κιλό"
56,fruits_and_vegetables,Ραπανάκια Εισαγωγής Α΄ Ποιότητα Συσκευασία 125γρ.,https://www.bigle.gr/images/products/8ba46dc8-d6de-4acd-9fb6-5e4c51cc9cdb.jpeg,Μασούτης,https://www.bigle.grhttps://www.masoutis.gr/categories/item/rapanakia-eisagwghs-a΄-poiothta-suskeuasia-125gr-?0444836,"0,87€","6,96€ ανά κιλό"
57,fruits_and_vegetables,Πιπεριές Πιπεριές Μακεδονίας,https://www.bigle.gr/images/products/3dd678cf-7976-443a-94f8-b9e044ba3dc6.jpeg,Κρητικός,https://www.bigle.grhttps://kritikos-sm.gr/products/manabikh/laxanika/piperies-makedoniasntolm-1325,"2,99€","2,99€ ανά τεμάχιο"
58,fruits_and_vegetables,Σαλάτα τύπου Γαλλίας Ελλάδος,https://www.bigle.gr/images/products/8671171d-3f37-4d31-87a2-bf4eb90d5429.jpeg,Θανόπουλος,https://www.bigle.grhttps://www.thanopoulos.gr/products/salata-tupou-gallias-ellados-66976ac7534ed70002a7f004/,"0,65€","0,65€ ανά τεμάχιο"
59,fruits_and_vegetables,Καρότα Βιολογικής Καλλιέργειας Ελληνικά,https://www.bigle.gr/images/products/bef8565b-ee1f-475b-bc11-e56cb50e3350.jpeg,Μασούτης,https://www.bigle.grhttps://www.masoutis.gr/categories/item/karota-biologikhs-kalliergeias-ellhnika?1742741,"2,34€","2,34€ ανά κιλό"
60,fruits_and_vegetables,Πορτοκάλια Φαγητού Βαλέντσια Ελληνικά Α΄ Ποιότητα,https://www.bigle.gr/images/products/525f468e-8092-4486-b6b3-8495169a78f4.jpeg,Μασούτης,https://www.bigle.grhttps://www.masoutis.gr/categories/item/portokalia-faghtou-balentsia-ellhnika-a΄-poiothta?3353612,"1,47€","1,47€ ανά κιλό"
61,fruits_and_vegetables,Bonduelle σαλάτα βαλεριάνα 160g,https://www.bigle.gr/images/products/773feaa4-7b56-435b-9f56-0c04daa25c35.jpeg,Θανόπουλος,https://www.bigle.grhttps://www.thanopoulos.gr/products/bonduelle-salata-baleriana-160g-66978f7e4c73ed0002c8e7e9/,"3,48€","21,75€ ανά κιλό"
62,fruits_and_vegetables,Μελιτζάνα Φλάσκα Εγχώρια Α΄,https://www.bigle.gr/images/products/e097d775-99f6-4b4d-b087-29d5b8a7f7af.jpeg,Market,https://www.bigle.grhttps://www.market-in.gr/el-gr/manabikh-manabikh-freska-laxanika/melitzana-flaska-egxoria-a-,"1,02€","1,27€ ανά κιλό"
